companie_name;type_card;network;hasRewardProgram;rewardProgramInfo;term_minimumFeeRate;term_additionalInfo;term_elegibilityCriteriaInfo;term_closingProcessInfo;name_services;code_services;chargingTriggerInfo_services;value_mini_services;currency__mini_services;value_max_services;currency_max_services;referentialRateIndexer_rates;rate_rates;rates_minimumRate;rates_maximumRate;referentialRateIndexer_instalmentRates;rate_instalmentRates;instalmentRates_minimumRate;instalmentRates_maximumRate;otherCredits;interval_prices_services;value_prices_services;currency_prices_services;rate_customers_prices_services;interval_applications_rates;rate_indexer_applications_rates;customers_rate_indexer_applications_rates;interval_applications_instalmentRates;rate_indexer_applications_instalmentRates;customers_indexer_applications_instalmentRates
Cartão Universitário;CLASSIC_NACIONAL;VISA;true;https://empresaa1.com/credit_cards_rewards;0.30;NA;https://empresaa1.com/creditcards_elegibility_criteria;https://empresaa1.com/creditcards_closing_process;ANUIDADE_CARTAO_BASICO_NACIONAL;ANUIDADE_NACIONAL;Disponibilização de rede de estabelecimentos afiliados, instalada no País, para pagamentos de bens e serviços, cobrada no máximo uma vez a cada doze meses, admitido o parcelamento da cobrança.;19.50;BRL;72.00;BRL;PRE_FIXADO;NA;0.0845;0.9000;PRE_FIXADO;NA;0.0456;0.0865;SAQUE_A_CREDITO;1_FAIXA;20.00;BRL;0.1500;1_FAIXA;0.0987;0.1500;1_FAIXA;0.0987;0.1500
Cartão Universitário;CLASSIC_NACIONAL;VISA;true;https://empresaa1.com/credit_cards_rewards;0.30;NA;https://empresaa1.com/creditcards_elegibility_criteria;https://empresaa1.com/creditcards_closing_process;ANUIDADE_CARTAO_BASICO_NACIONAL;ANUIDADE_NACIONAL;Disponibilização de rede de estabelecimentos afiliados, instalada no País, para pagamentos de bens e serviços, cobrada no máximo uma vez a cada doze meses, admitido o parcelamento da cobrança.;19.50;BRL;72.00;BRL;PRE_FIXADO;NA;0.0845;0.9000;PRE_FIXADO;NA;0.0456;0.0865;SAQUE_A_CREDITO;1_FAIXA;20.00;BRL;0.1500;1_FAIXA;0.0987;0.1500;2_FAIXA;0.1600;0.3500
Cartão Universitário;CLASSIC_NACIONAL;VISA;true;https://empresaa1.com/credit_cards_rewards;0.30;NA;https://empresaa1.com/creditcards_elegibility_criteria;https://empresaa1.com/creditcards_closing_process;ANUIDADE_CARTAO_BASICO_NACIONAL;ANUIDADE_NACIONAL;Disponibilização de rede de estabelecimentos afiliados, instalada no País, para pagamentos de bens e serviços, cobrada no máximo uma vez a cada doze meses, admitido o parcelamento da cobrança.;19.50;BRL;72.00;BRL;PRE_FIXADO;NA;0.0845;0.9000;PRE_FIXADO;NA;0.0456;0.0865;SAQUE_A_CREDITO;1_FAIXA;20.00;BRL;0.1500;1_FAIXA;0.0987;0.1500;3_FAIXA;0.3600;0.2000
Cartão Universitário;CLASSIC_NACIONAL;VISA;true;https://empresaa1.com/credit_cards_rewards;0.30;NA;https://empresaa1.com/creditcards_elegibility_criteria;https://empresaa1.com/creditcards_closing_process;ANUIDADE_CARTAO_BASICO_NACIONAL;ANUIDADE_NACIONAL;Disponibilização de rede de estabelecimentos afiliados, instalada no País, para pagamentos de bens e serviços, cobrada no máximo uma vez a cada doze meses, admitido o parcelamento da cobrança.;19.50;BRL;72.00;BRL;PRE_FIXADO;NA;0.0845;0.9000;PRE_FIXADO;NA;0.0456;0.0865;SAQUE_A_CREDITO;1_FAIXA;20.00;BRL;0.1500;1_FAIXA;0.0987;0.1500;4_FAIXA;0.5890;0.3000
Cartão Universitário;CLASSIC_NACIONAL;VISA;true;https://empresaa1.com/credit_cards_rewards;0.30;NA;https://empresaa1.com/creditcards_elegibility_criteria;https://empresaa1.com/creditcards_closing_process;ANUIDADE_CARTAO_BASICO_NACIONAL;ANUIDADE_NACIONAL;Disponibilização de rede de estabelecimentos afiliados, instalada no País, para pagamentos de bens e serviços, cobrada no máximo uma vez a cada doze meses, admitido o parcelamento da cobrança.;19.50;BRL;72.00;BRL;PRE_FIXADO;NA;0.0845;0.9000;PRE_FIXADO;NA;0.0456;0.0865;SAQUE_A_CREDITO;1_FAIXA;20.00;BRL;0.1500;2_FAIXA;0.1600;0.3500;1_FAIXA;0.0987;0.1500
Cartão Universitário;CLASSIC_NACIONAL;VISA;true;https://empresaa1.com/credit_cards_rewards;0.30;NA;https://empresaa1.com/creditcards_elegibility_criteria;https://empresaa1.com/creditcards_closing_process;ANUIDADE_CARTAO_BASICO_NACIONAL;ANUIDADE_NACIONAL;Disponibilização de rede de estabelecimentos afiliados, instalada no País, para pagamentos de bens e serviços, cobrada no máximo uma vez a cada doze meses, admitido o parcelamento da cobrança.;19.50;BRL;72.00;BRL;PRE_FIXADO;NA;0.0845;0.9000;PRE_FIXADO;NA;0.0456;0.0865;SAQUE_A_CREDITO;1_FAIXA;20.00;BRL;0.1500;2_FAIXA;0.1600;0.3500;2_FAIXA;0.1600;0.3500
Cartão Universitário;CLASSIC_NACIONAL;VISA;true;https://empresaa1.com/credit_cards_rewards;0.30;NA;https://empresaa1.com/creditcards_elegibility_criteria;https://empresaa1.com/creditcards_closing_process;ANUIDADE_CARTAO_BASICO_NACIONAL;ANUIDADE_NACIONAL;Disponibilização de rede de estabelecimentos afiliados, instalada no País, para pagamentos de bens e serviços, cobrada no máximo uma vez a cada doze meses, admitido o parcelamento da cobrança.;19.50;BRL;72.00;BRL;PRE_FIXADO;NA;0.0845;0.9000;PRE_FIXADO;NA;0.0456;0.0865;SAQUE_A_CREDITO;1_FAIXA;20.00;BRL;0.1500;2_FAIXA;0.1600;0.3500;3_FAIXA;0.3600;0.2000
Cartão Universitário;CLASSIC_NACIONAL;VISA;true;https://empresaa1.com/credit_cards_rewards;0.30;NA;https://empresaa1.com/creditcards_elegibility_criteria;https://empresaa1.com/creditcards_closing_process;ANUIDADE_CARTAO_BASICO_NACIONAL;ANUIDADE_NACIONAL;Disponibilização de rede de estabelecimentos afiliados, instalada no País, para pagamentos de bens e serviços, cobrada no máximo uma vez a cada doze meses, admitido o parcelamento da cobrança.;19.50;BRL;72.00;BRL;PRE_FIXADO;NA;0.0845;0.9000;PRE_FIXADO;NA;0.0456;0.0865;SAQUE_A_CREDITO;1_FAIXA;20.00;BRL;0.1500;2_FAIXA;0.1600;0.3500;4_FAIXA;0.5890;0.3000
Cartão Universitário;CLASSIC_NACIONAL;VISA;true;https://empresaa1.com/credit_cards_rewards;0.30;NA;https://empresaa1.com/creditcards_elegibility_criteria;https://empresaa1.com/creditcards_closing_process;ANUIDADE_CARTAO_BASICO_NACIONAL;ANUIDADE_NACIONAL;Disponibilização de rede de estabelecimentos afiliados, instalada no País, para pagamentos de bens e serviços, cobrada no máximo uma vez a cada doze meses, admitido o parcelamento da cobrança.;19.50;BRL;72.00;BRL;PRE_FIXADO;NA;0.0845;0.9000;PRE_FIXADO;NA;0.0456;0.0865;SAQUE_A_CREDITO;1_FAIXA;20.00;BRL;0.1500;3_FAIXA;0.3600;0.2000;1_FAIXA;0.0987;0.1500
Cartão Universitário;CLASSIC_NACIONAL;VISA;true;https://empresaa1.com/credit_cards_rewards;0.30;NA;https://empresaa1.com/creditcards_elegibility_criteria;https://empresaa1.com/creditcards_closing_process;ANUIDADE_CARTAO_BASICO_NACIONAL;ANUIDADE_NACIONAL;Disponibilização de rede de estabelecimentos afiliados, instalada no País, para pagamentos de bens e serviços, cobrada no máximo uma vez a cada doze meses, admitido o parcelamento da cobrança.;19.50;BRL;72.00;BRL;PRE_FIXADO;NA;0.0845;0.9000;PRE_FIXADO;NA;0.0456;0.0865;SAQUE_A_CREDITO;1_FAIXA;20.00;BRL;0.1500;3_FAIXA;0.3600;0.2000;2_FAIXA;0.1600;0.3500
